(Do Not Modify) DOI Occupancy Buildings List,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Building Name,Address,State,Assigned Employees (Old),Owner,RPUID CO Number,RTO Non-Ready,RTO Seats,RTO Workstations for Other Bureaus,RTO Open Workstation,Bureau Name,Pending Requests Count,Assigned Employees Count,Modified,Modified By,Assigned Seats Count,ID,Latitude,Longitude
55ad6042-bf22-f011-9989-001dd80292e8,1j6qWAgxZRq4ZsUP42XMIuVCB3nP1jruC+B09Njm650TdW5fKRVpDbDX/z1kXdLgUz8a4SupSfCaMASDoMU0ww==,6/14/2025 8:34,INDEPENDENCE W OFFICE BLDG - SHAWNEE (GSA O.A.),624 W INDEPENDENCE,Oklahoma,0,BIA,RPUIDA1000354520000003.C1000000001849,,,,0,Bureau of Indian Affairs,0,0,,Ethan Rutledge,0,13677,+35.3476820,-096.9336310
57ad6042-bf22-f011-9989-001dd80292e8,A+cPhTcfjdpgChy1sMrxI33iz/PCVc73V7APrrwnzgIL5/CfpUPwPwG+IaWhwQcyS/7gtyb5Zkl8LGYg3Y3aTQ==,6/14/2025 3:19,FEDERAL BUILDING - 4TH AVENUE SE (GSA O.A.),115 4TH AVE SE,South Dakota,0,BIA,RPUIDA1000354520000018.C1000000001228,,,,0,Bureau of Indian Affairs,1,0,,Ethan Rutledge,0,13680,+45.4610990,-098.4864010
59ad6042-bf22-f011-9989-001dd80292e8,eDbSFzuHzl1VzEvxBprHJVsP7h68vX64TPEq10RiTEBuPHfY/9/6dxh2qje3wT8D7/SMJ4I2PLvGxWPbmzV3Jw==,6/14/2025 2:59,911 FEDERAL BUILDING - PORTLAND (GSA O.A.),911 NE 11TH AVE,Oregon,0,BIA,RPUIDA1000354520000075.C1000000001406,,,,0,Bureau of Indian Affairs,0,0,,Ethan Rutledge,0,13688,+45.5291740,-122.6544000
5bad6042-bf22-f011-9989-001dd80292e8,oRg5AohAQtmWlL+Pbsvh6KqgfznCPcTs+cT6pfuUMSMuCqjby3VN8+4ru6jQu5+KMdef2NB6MIBN5q/qrmQnkQ==,7/16/2025 0:40,OFFICE BUILDING 203 - TOWAOC (GSA O.A.),123 MAIN ST,Colorado,0,BIA,RPUIDA1000354520000045.C1000000001401,,,,0,Bureau of Indian Affairs,1,0,,Ethan Rutledge,0,13702,+37.2033980,-108.7293700
60ad6042-bf22-f011-9989-001dd80292e8,vDjrn+BVoiBDvJxR7jm+SkqJKeIIBAN7n0GXdOqgsx6qVrcisoXX7YjpITXKLoZG90w37TXxUmVcKds+7xULUg==,6/14/2025 2:31,JOHN E MOSS FEDERAL BLDG - SACRAMENTO (GSA O.A.),650 CAPITOL MALL,California,0,BIA,RPUIDA1000354520000089.C1000000000939,,,,0,Bureau of Indian Affairs,0,0,,Ethan Rutledge,0,13726,+38.5776660,-121.4999300
61ad6042-bf22-f011-9989-001dd80292e8,X1H3Dcy7a6wUM3al93OkUlhwS/YqUtRaz8xwGdw5AQsrRvXa0y51arJUkuEQrP9sn58F6cRwgbCea7qGecsVMg==,6/14/2025 2:46,AWA07240 - GSA OA,400 E MILL PLAIN BOULEVARD,Washington,0,BIA,RPUIDA1000354420000033.C1000000001740,,,,0,Bureau of Indian Affairs,0,0,,Ethan Rutledge,0,13740,+45.7322700,-122.6676380
62ad6042-bf22-f011-9989-001dd80292e8,DtqJcr9U7ywif7Y6NkL2alWBBn9qQ7u/Ys9LMm/suXfsFBVfsEwO2lMWdlUsGW1A96d6Sp7rs+GfosBptvkvSg==,6/12/2025 20:10,FRONTIER BUILDING,3601 C STREET,Alaska,0,BTFA,RPUIDAK3341.C1000000001340,0,0,0,0,Bureau of Trust Funds Administration,0,0,,Ethan Rutledge,0,13752,+61.1871520,-149.8847310
63ad6042-bf22-f011-9989-001dd80292e8,Jzecf9NZ5JgEecIrFOxM5xx2pyv+fJl4HlTzdq5myg9idNhb7e6zCwYDpN+r4Uc5Xbdy5bJniE6U3pPWSXR82w==,6/16/2025 19:17,DOI FEDERAL BUILDING 2800 COTTAGE WAY SACRAMENTO CA,2800 COTTAGE WAY,California,0,SOL,RPUIDCA0199.C1000000000431,0,0,4,4,Office of the Secretary,1,0,,Hadrian Hernandez,0,13743,+38.6016220,-121.3979240
6fad6042-bf22-f011-9989-001dd80292e8,ip8zObp36SK6e0D3ypjT6WAq0O5H9SPm9EOc49huPmp+ppbQUJL3n+kQ64T75cC6Jf1mZLxE02NjYYITks9PBg==,6/14/2025 21:16,JOURNAL CENTER,4400 MASTHEAD STREET NE,New Mexico,0,BTFA,RPUIDD1000072220000008.C1000000001959,,,,-2,Bureau of Trust Funds Administration,2,2,,Claire Spalding,0,13786,+35.1656430,-106.5951890
70ad6042-bf22-f011-9989-001dd80292e8,t8fon66B/N1nrMukpJTHuuxjEpKa+Iq97fUtNtjeySdIDR2M5iPXGT+0sNjjOaP9BUUj7cNLuu07fcGfhaxgZw==,6/23/2025 11:29,American Title Building,"801 MOUNT RUSHMORE RD,",South Dakota,0,AVSO,RPUIDD1000072720000005.C1000000001899,0,0,0,0,Bureau of Trust Funds Administration,0,0,,Dennis Cates,0,13792,+44.0782510,-103.2323590
78ad6042-bf22-f011-9989-001dd80292e8,nsWSUlV3KO/T2v6TFbNYsS5993UzlPwOjz57cNVgSND9s2zgmaxS20WfeDZHHy18hwmf+zAYUZwjx4j2dui75g==,6/12/2025 20:12,DFC BLDG 67,BLDG 67 W 6TH AVE & KIPLING ST,Colorado,0,ONRR,RPUIDD1000203820000000.C1000000000746,,,,0,Office of the Secretary,0,0,,Ethan Rutledge,0,13820,+39.7222460,-105.1240270
79ad6042-bf22-f011-9989-001dd80292e8,xbf58biHfz3ZmqPREQb/E/Dei1/Y/b45PLmw8GinazP+JvsWHxmGDkfW8SLYEqgSWU+PJRVi1bSVTNDbr5wA1Q==,6/12/2025 20:12,DFC BLDG 85,BLDG 85 W 6TH AVE & KIPLING ST,Colorado,0,ONRR,RPUIDD1000203820000003.C1000000000751,,,,0,Office of the Secretary,1,0,,Ethan Rutledge,0,13821,+39.7191260,-105.1258510
7aad6042-bf22-f011-9989-001dd80292e8,gnJfIxoyDpEHS0rOCsncmq7UloBRFTJS+UlHBSkTJq+HZeiFFK9bQrSx/ZPWy0CGsGn2DzGOG2ASdxBEGYfxPw==,6/14/2025 8:07,FACTORY OUTLET,800 VF FACTORY OUTLET DRIVE,Louisiana,0,BSEE,RPUIDE1000204720000021.C1000000001954,0,0,0,0,Bureau of Safety and Environmental Enforcement,0,0,,Ethan Rutledge,0,13831,+30.2484000,-093.0103000
7cad6042-bf22-f011-9989-001dd80292e8,jKriQBjtiTJtzaOvL1cxrWLI10V5GNzem9oG2kHoI2JIQBtfQrnm2N5SnrnU7SRQZZxepfmguMVvdjXnutU/MQ==,7/16/2025 6:02,370 AMAPOLA AVENUE,370 AMAPOLA AVENUE,California,0,FWS,RPUIDCA6567.C1000000001792,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13839,+33.8450000,-118.3237000
7dad6042-bf22-f011-9989-001dd80292e8,/IH6QNjMOXqwnbREmKSTCFmgt7wlh7/s3I5oCCWrQn14L7QrWd3s9e+A4ZflZOLi7uWq5WRGy00ZOMwRE5rnFA==,6/14/2025 8:42,GSA OA ACA10462 MCCLELLAN AFB 5622 PRICE AVE.,5622 PRICE AVENUE,California,0,FWS,RPUIDCA8379.C1000000001859,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13842,+38.6680000,-121.3928000
7ead6042-bf22-f011-9989-001dd80292e8,Nz1eakaSYBzJ4A4vESf3lyPcvviYG+mC3rZlcrr/KXOYnaISubueU/+ATmk5upFJLsRAq9IgWxS+iAlu8UflrA==,6/13/2025 17:25,USFWS DFC BLDG 53 RO,BLDG 53 WEST 6TH AVENUE & KIPLING STREET,Colorado,0,FWS,RPUIDF1000197420000014.C1000000002009,1,0,5,5,Fish and Wildlife Service,1,0,,Ethan Rutledge,0,13845,+39.7185800,-105.1190000
85ad6042-bf22-f011-9989-001dd80292e8,jfs+WuZjppbc1CCzHh2b5ex27LZM7NyKerdIEC2aPzkSs4CBc7LTZLWUgimEvou7VOyWuXxkD1pXj7aylsVlCg==,7/16/2025 11:03,USFWS VERO BEACH ES,777 37TH ST,Florida,6,FWS,RPUIDF1000198020000038.C1000000001883,8,0,6,0,Fish and Wildlife Service,0,6,,Ethan Rutledge,0,13887,+27.6602180,-080.3881220
86ad6042-bf22-f011-9989-001dd80292e8,KzsS5s0fENxirE1GPL5Pma7X+O/En2k2jCGRri8FHGYcZZ5D0AkUhxweqSBPOAIDarjmmd3ivA/sbYfLV78ZpA==,7/16/2025 14:00,"JACKSONVILLE, FL 8031 PHILLIPS HIGHWAY OLE HQ",8031 PHILLIPS HIGHWAY,Florida,0,FWS,RPUIDF1000198020000036.C1000000001937,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13873,+30.2245620,-081.5864240
87ad6042-bf22-f011-9989-001dd80292e8,tO+TvIYlhqtShwIstyp0aJQufOrG+Dmnq7dC7znnWFSe8XGYsgj5y+Mqqb9ClsP9zFotdXOh4ZwsiVv3FCJ20g==,6/14/2025 2:18,PRINCE KUHIO FBO,300 ALA MOANA BLVD,Hawaii,0,FWS,RPUIDHI0011.C1000000000497,0,0,0,0,Fish and Wildlife Service,1,0,,Ethan Rutledge,0,13890,+21.3053000,-157.8625000
88ad6042-bf22-f011-9989-001dd80292e8,VeXBO3E07gJ1WDDuGFQxfk01s5flow33Vco5cMuG7pqc0EkyEdkpdGekgrdzqsquFQ9DCY+aMl0p/9sH9E6qLg==,6/13/2025 23:04,1306 NORTH 14TH STREET,1306 NORTH 14TH STREET,Iowa,0,FWS,RPUIDIA1490.C1000000001618,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13888,+41.3717000,-093.5418000
8aad6042-bf22-f011-9989-001dd80292e8,auRl3l9WdrgiO0NPi69HSxgCoPtRtiFoWmXDRc873vKCFri6/x/2oeWO/JPJlEbo4j7lv8NCsxWMgMQ6xuQCmQ==,6/13/2025 7:35,510/514 W MORTON ST.,# 510/514 W MORTON ST.,Indiana,0,FWS,RPUIDIN1674.C1000000000513,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13906,+38.3337000,-087.3523000
8bad6042-bf22-f011-9989-001dd80292e8,Az513QBHR7OkzZX0HDY2WFS07GqNeNnAvqxfgknHkuQ8Y5tzOhGBYNy9ScB31BwxueSbLvGytnoZSnsriijjCw==,7/16/2025 19:24,J. C. WATTS FB,330 W BROADWAY,Kentucky,0,FWS,RPUIDKY0088.C1000000000520,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13907,+38.2005000,-084.8786000
8dad6042-bf22-f011-9989-001dd80292e8,gX+Y491+dqp9aR9O8fBEkru8XIa44ojHPrpAszmpsQZ48hX8KABy8aZlKr31OkiimYuRy8b8bBvqum0/vUzw9g==,7/16/2025 12:46,NORTH CARGO COMPLEX,7323 AVIATION BLVD,Maryland,0,FWS,RPUIDMD1048.C1000000000617,0,0,0,0,Fish and Wildlife Service,2,0,,Ethan Rutledge,0,13908,+39.1866000,-076.6833000
8fad6042-bf22-f011-9989-001dd80292e8,ZrJQs1FSy9fojEDTmM61ee2c1bCXxM6H5hIzEbL7fk/rtHx7k8U7RqytKnvCu3wddVQ4vQPZAWrwmhJtzJ+YLw==,6/13/2025 22:53,EAST LANSING,2651 COOLIDGE RD.,Michigan,0,FWS,RPUIDMI1996.C1000000000803,0,0,0,0,Fish and Wildlife Service,0,0,,Ethan Rutledge,0,13909,+42.7644000,-084.5033000
